YESIL_ALAN_TURU;ILCE;MAHALLE;ADRES;PARK_ADI;YESIL_ALAN_MIKTARI;KONDISYON_TAKIMI;OYUN_GRUBU
Park;Çiğli;Balatçık Mahallesi;8786/24 Sokak;Küçük Çiğli Cemevi Parkı;7324;1;1
Park;Çiğli;Evka-2 Mahallesi;6851 Sokak;Milli Piyango Parkı;4645;;
Park;Çiğli;Evka-2 Mahallesi;6800 Sokak;Sabiha Gökçen Parkı;9875;1;1
Park;Çiğli;Ataşehir Mahallesi;8019/21 Sokak;Sarızeybek Parkı (Kipa Arkası);24928;1;1
Kent Ormanı;Çiğli;Tuzla Mahallesi;Ahmet Piriştina Caddesi;Sasalı Kent Ormanı ;3134415;1;4
Park;Çiğli;Sasalı Merkez Mahallesi;5. Sokak;Sasalı Mesire Alanı;23262;1;1
Park;Çiğli;Çağdaş Mahallesi;8818 Sokak;Su İshale Hattı ;46145;1;1
Park;Çiğli;Ahmet Taner Kışlalı Mahallesi;6762 Sokak;Şehit Ahmet Ay Parkı;9009;1;1
Park;Çiğli;Aydınlıkevler Mahallesi;6796/1 Sokak;Şehit Ersin Temel Parkı;5377;1;1
Park;Çiğli;Yeni Mahalle;Anadolu Caddesi;Yeni Mahalle Parkı;12216;;1
Kıyı Şeridi;Karşıyaka;Tuna Mahallesi;Cemal Gürsel Caddesi;Alaybey Sahil Şeridi;32886;1;1
Park;Karşıyaka;Yalı Mahallesi;6527 Sokak;Bekir Coşkun Parkı;3298;;
Kıyı Şeridi;Karşıyaka;Bostanlı Mahallesi;Hasan Ali Yücel Bulvarı;Bostanlı Sahil Şeridi;209163;1;3
Park;Karşıyaka;Demirköprü Mahallesi; Bestekar Yusuf Nalkesen Cd;Demirköprü Parkı.;4132;1;1
Park;Karşıyaka;Bostanlı Mahallesi;Hasan Ali Yücel Bulvarı -İsmail Sivri Sokak;Hıfzıveldet Velidedeoğlu Parkı ;14898;;1
Park;Karşıyaka;Bahçelievler Mahallesi;1851 Sokak No:86;İzay Parkı;4550;1;2
Park;Karşıyaka;Bahriye Üçok Mahallesi;1732 Sokak;Karşıyaka İzban İstasyonu Üstü;893;;1
Kıyı Şeridi;Karşıyaka;Tuna Mahallesi;Cemal Gürsel Caddesi;Karşıyaka Sahil Şeridi;39470;1;2
Park;Karşıyaka;Bostanlı Mahallesi;Hasan Ali Yücel Bulvarı;Kurmay Binbaşı Recep Güngör Parkı;7315;;
Park;Karşıyaka;Yalı Mahallesi;6523 Sokak;Mavişehir Halk Park;54636;2;3
Park;Karşıyaka;Yalı Mahallesi;6525 Sokak ;Mavişehir Metro İstasyonu Yanı;5836;1;1
Park;Karşıyaka;Mavişehir Mahallesi;2040 Sokak;Mavişehir Pompa İstasyon Merkezi Yanı Parkı;16047;;
Park;Karşıyaka;Yalı Mahallesi;Caher Dudayev Bulvarı - 6524 Sokak;Muzeffer İzgü Parkı;14217;;1
Park;Karşıyaka;Nergis Mahallesi;1671 Sokak;Nergis İzban İstasyonu Üstü;6032;1;1
Park;Karşıyaka;Atakent Mahallesi;Hasan Ali Yücel Bulvarı;Olof Palme Parkı ;56888;;2
Park;Karşıyaka;Örnekköy Mahallesi;Baş Pehlivan Karaali Caddesi;Örnekköy Mahallesi Parkı;3812;1;1
Park;Karşıyaka;Bahçelievler Mahallesi;Cevdet Bilsay Caddesi;Soğukkuyu Cami Önü Park ;1309;;
Park;Karşıyaka;Bahçelievler Mahallesi;Yaşar Aksoy Sokak;Soğukkuyu Dere Kenarı;5498;1;1
Park;Karşıyaka;Bahçelievler Mahallesi;1851/10 Sokak;Soğukkuyu Yeni Park;1027;;1
Park;Karşıyaka;Alaybey Mahallesi;1671 Sokak;Volkan Vedat Akay Parkı / Alaybey İzban İstasyonu Üstü;3475;1;1
Park;Karşıyaka;Bahariye Mahallesi;Latife Hanım Sokağı;Yasa Parkı;2141;;
Park;Konak;Cengiz Topel;MTK A Blok;Cengiz Topel Parkı;4294;1;1
Park;Konak;Mersinli Mahallesi;2816 Sokak;Emrah Ortakaya Parkı (2816 Sokak);12253;1;1
Park;Menemen;İncirli Pınar Mahallesi;109/2 Sokak;İncirli Pınar Mahallesi Parkı;1761;1;1
Park;Menemen;Cumhuriyet Mahallesi;7516/1 Sokak Sevgi Caddesi;Koyundere Cumhuriyet Mahallesi Parkı ;17480;1;1
Park;Menemen;İstiklal Mahallesi;7415 Sokak ;İstiklal Mahallesi Parkı;3301;1;1
Park;Menemen;Gölcük Mahallesi;9422 Sokak ;Gölcük Mahallesi Parkı;2251;;
